gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
SH3BP5,,,,no,9.552,6.69,44331,16169,-0.514
SH3BP5L,,,,no,4.744,3.27,22015,7903,-0.537
SH3GLB2,,,,no,3.772,3.725,17506,9003,-0.018
SH3RF2,,,,no,0.353,0.315,1636,762,-0.161
SH3TC2,,,,no,0.121,0.148,560,357,0.292
SHANK3,,,,no,3.684,4.648,17098,11234,0.335
SHARPIN,,,,no,1.326,0.828,6152,2002,-0.678
SHBG,,,,no,0.062,0.056,289,135,-0.157
SHC1,,,,no,5.189,3.817,24082,9226,-0.443
SHC4,,,,no,0.077,0.12,357,289,0.636
SHFL,,,,no,3.406,1.933,15807,4673,-0.817
SHH,,,,no,0.08,0.154,371,373,0.949
SHLD1,,,,no,0.437,0.571,2029,1381,0.386
SHLD2,,,,no,2.046,2.321,9493,5610,0.182
SHMT1,,,,no,1.301,0.806,6037,1949,-0.69
SHMT2,,,,no,4.422,2.91,20524,7032,-0.604
SHOX,,,,no,0.035,0.061,163,147,0.792
SHROOM1,,,,no,0.638,0.456,2960,1103,-0.483
SIAE,,,,no,0.601,0.713,2789,1724,0.247
SIAH1,,,,no,2.241,1.824,10399,4409,-0.297
SIGIRR,,,,no,5.161,4.473,23954,10810,-0.207
SIGLEC1,,,,no,5.343,3.891,24798,9404,-0.458
SIGLEC11,,,,no,0.119,0.166,553,401,0.478
SIGLEC6,,,,no,0.177,0.17,823,411,-0.06
SIGLEC7,,,,no,0.505,0.386,2343,934,-0.386
SIGLEC9,,,,no,0.426,0.618,1976,1494,0.538
SIGMAR1,,,,no,1.393,1.863,6467,4502,0.419
SIK2,,,,no,2.042,1.338,9478,3233,-0.61
SIK3,,,,no,2.075,1.928,9630,4660,-0.106
SIMC1,,,,no,0.581,0.429,2697,1036,-0.439
SIN3A,,,,no,6.346,5.252,29451,12693,-0.273
SINHCAF,,,,no,2.392,2.966,11102,7168,0.31
SIRPA,,,,no,2.663,3.93,12358,9499,0.562
SIRPB1,,,,no,0.993,1.14,4610,2755,0.199
SIRPG,,,,no,3.173,3.302,14727,7980,0.057
SIRT1,,,,no,2.533,1.875,11756,4532,-0.434
SIRT2,,,,no,2.728,2.281,12661,5514,-0.258
SIRT3,,,,no,1.802,1.512,8365,3655,-0.253
SIRT6,,,,no,1.116,0.769,5177,1858,-0.537
SIRT7,,,,no,4.015,2.985,18633,7214,-0.428
SIX1,,,,no,1.086,1.547,5038,3740,0.511
SKA3,,,,no,0.407,0.494,1888,1195,0.281
SKAP2,,,,no,1.851,2.186,8590,5283,0.24
SKP1,,,,no,3.057,3.406,14187,8232,0.156
SKP2,,,,no,1.436,1.32,6664,3191,-0.121
SLAMF1,,,,no,5.153,2.523,23915,6098,-1.03
SLAMF6,,,,no,1.234,0.789,5725,1908,-0.644
SLAMF7,,,,no,0.899,0.946,4170,2287,0.075
SLAMF8,,,,no,0.29,0.27,1345,653,-0.101
SLC10A1,,,,no,0.045,0.073,210,177,0.695
SLC11A1,,,,no,0.162,0.201,752,487,0.314
SLC11A2,,,,no,3.979,3.364,18467,8130,-0.242
SLC12A2,,,,no,2.066,1.507,9590,3642,-0.456
SLC12A6,,,,no,1.627,1.71,7550,4133,0.072
SLC15A1,,,,no,0.267,0.176,1240,425,-0.604
SLC16A1,,,,no,0.349,0.419,1621,1013,0.263
SLC16A4,,,,no,0.247,0.271,1144,656,0.139
SLC16A9,,,,no,0.378,0.329,1753,795,-0.2
SLC17A5,,,,no,0.885,1.039,4106,2512,0.232
SLC17A7,,,,no,0.085,0.281,396,678,1.717
SLC17A8,,,,no,0.078,0.131,361,317,0.754
SLC18A2,,,,no,1.234,0.236,5725,570,-2.387
SLC19A1,,,,no,0.376,0.312,1747,755,-0.269
SLC1A1,,,,no,0.078,0.132,363,320,0.759
SLC1A2,,,,no,0.056,0.077,260,187,0.466
SLC1A3,,,,no,0.1,0.144,464,347,0.522
SLC1A5,,,,no,3.465,2.623,16079,6340,-0.401
SLC20A2,,,,no,1.924,0.692,8927,1673,-1.474
SLC22A1,,,,no,0.318,0.294,1475,711,-0.112
SLC22A12,,,,no,0.027,0.042,127,102,0.625
SLC22A2,,,,no,0.064,0.111,296,268,0.798
SLC22A4,,,,no,0.273,0.333,1269,804,0.283
SLC22A5,,,,no,1.079,0.589,5009,1424,-0.873
SLC22A8,nephron_specific,"Specific nephron segment; not in pancreas/LN. Some broadly-expressed kidney genes (e.g., RBP1, KL) deliberately kept.",,yes,,0.048,0,115,
SLC22A9,,,,no,0.034,0.063,157,153,0.904
SLC23A2,,,,no,2.082,1.889,9664,4565,-0.141
SLC24A1,,,,no,1.302,0.933,6043,2256,-0.48
SLC24A4,,,,no,0.264,0.308,1223,744,0.224
SLC25A1,,,,no,3.754,2.826,17424,6830,-0.41
SLC25A10,,,,no,0.477,0.242,2214,584,-0.981
SLC25A11,,,,no,5.567,5.16,25835,12471,-0.109
SLC25A13,,,,no,1.443,1.266,6695,3060,-0.188
SLC25A17,,,,no,1.163,1.237,5396,2990,0.09
SLC25A31,,,,no,0.12,0.234,557,565,0.962
SLC25A39,,,,no,3.818,2.359,17717,5702,-0.694
SLC25A4,,,,no,1.397,0.842,6483,2036,-0.73
SLC25A40,,,,no,1.116,1.087,5181,2628,-0.038
SLC26A2,,,,no,0.636,0.661,2952,1597,0.055
SLC26A3,,,,no,0.044,0.081,204,195,0.876
SLC29A1,,,,no,3.226,2.599,14970,6282,-0.312
SLC29A3,,,,no,1.579,1.629,7327,3938,0.046
SLC2A1,,,,no,3.209,1.723,14892,4165,-0.897
SLC2A2,,,,no,0.038,0.077,176,187,1.029
SLC2A3,,,,no,2.576,2.647,11953,6397,0.039
SLC2A4,,,,no,0.228,0.164,1058,396,-0.477
SLC2A4RG,,,,no,4.888,5.586,22686,13500,0.192
SLC2A9,,,,no,1.808,1.144,8393,2766,-0.66
SLC30A7,,,,no,0.914,1.082,4243,2616,0.244
SLC30A8,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,0.031,,144,0,
SLC35E1,,,,no,3.964,3.383,18397,8177,-0.229
SLC35G2,,,,no,0.574,0.575,2662,1389,0.003
SLC37A4,,,,no,0.969,0.885,4497,2138,-0.131
SLC38A7,,,,no,0.864,0.72,4009,1740,-0.263
SLC39A11,,,,no,0.814,0.703,3777,1699,-0.211
SLC39A8,,,,no,1.586,1.343,7359,3245,-0.24
SLC39A9,,,,no,2.925,2.833,13573,6846,-0.046
SLC3A1,,,,no,0.126,0.15,585,362,0.249
SLC3A2,,,,no,4.673,3.589,21686,8674,-0.381
SLC40A1,,,,no,17.272,15.346,80160,37089,-0.171
SLC43A2,,,,no,1.705,1.886,7915,4558,0.145
SLC4A1,,,,no,0.092,0.152,429,367,0.716
SLC4A1AP,,,,no,2.307,2.224,10707,5374,-0.053
SLC5A1,,,,no,0.161,0.119,748,288,-0.436
SLC5A2,,,,no,0.033,,155,0,
SLC5A3,,,,no,4.589,3.077,21299,7437,-0.577
SLC5A5,,,,no,0.068,0.07,314,168,0.039
SLC5A7,,,,no,0.049,0.083,229,200,0.746
SLC6A1,,,,no,0.905,1.386,4202,3351,0.615
SLC6A12,,,,no,0.054,0.053,251,127,-0.042
SLC6A17,,,,no,0.05,0.076,231,183,0.605
SLC6A2,,,,no,0.033,,151,0,
SLC6A3,,,,no,0.537,0.634,2494,1532,0.238
SLC6A4,,,,no,0.076,0.118,352,284,0.632
SLC6A5,,,,no,0.029,0.05,133,121,0.805
SLC6A9,,,,no,0.817,0.604,3793,1460,-0.436
SLC7A11,,,,no,0.051,0.063,237,152,0.3
SLC7A5,,,,no,0.794,0.67,3686,1620,-0.245
SLC7A7,,,,no,2.703,3.084,12546,7453,0.19
SLC9A1,,,,no,2.08,1.543,9651,3729,-0.431
SLC9A3,,,,no,0.477,0.384,2216,927,-0.316
SLC9A3R1,,,,no,4.493,5.066,20851,12244,0.173
SLC9A3R2,,,,no,1.607,1.902,7458,4597,0.243
SLCO1B1,,,,no,0.099,0.158,458,382,0.679
SLCO1B3,,,,no,0.131,0.209,607,505,0.676
SLCO1C1,,,,no,0.106,0.178,490,430,0.753
SLCO2B1,,,,no,7.888,5.306,36607,12824,-0.572
SLFN11,,,,no,0.236,0.254,1093,613,0.107
SLFN5,,,,no,4.685,5.466,21741,13211,0.223
SLIT2,,,,no,0.85,0.801,3943,1935,-0.086
SLIT3,,,,no,2.084,1.722,9672,4162,-0.275
SLITRK1,,,,no,0.106,0.076,491,184,-0.475
SLITRK2,,,,no,0.236,0.245,1095,593,0.056
SLITRK4,,,,no,0.778,0.718,3610,1735,-0.116
SLITRK5,,,,no,0.164,0.152,760,367,-0.109
SLMAP,,,,no,3.918,3.553,18182,8587,-0.141
SMAD1,,,,no,1.23,0.962,5710,2326,-0.354
SMAD2,,,,no,3.998,4.083,18556,9869,0.03
SMAD3,,,,no,4.138,3.618,19204,8744,-0.194
SMAD4,,,,no,6.961,5.811,32306,14045,-0.26
SMAD7,,,,no,1.244,1.067,5775,2580,-0.221
SMAP2,,,,no,21.431,6.714,99459,16227,-1.674
SMARCA1,,,,no,1.911,1.239,8868,2995,-0.625
SMARCA2,,,,no,12.195,8.945,56595,21619,-0.447
SMARCA4,,,,no,11.904,9.135,55247,22077,-0.382
SMARCA5,,,,no,10.142,9.917,47068,23968,-0.032
SMARCAD1,,,,no,2.103,2.114,9762,5109,0.007
SMARCAL1,,,,no,1.79,1.844,8305,4456,0.043
SMARCB1,,,,no,6.559,5.002,30440,12089,-0.391
SMARCC1,,,,no,8.361,7.82,38801,18901,-0.096
SMARCE1,,,,no,7.663,6.419,35565,15514,-0.256
SMC1A,,,,no,7.18,5.552,33324,13419,-0.371
SMC3,,,,no,4.693,4.519,21782,10921,-0.055
SMC4,,,,no,6.472,3.248,30036,7851,-0.994
SMCHD1,,,,no,2.879,3.268,13363,7898,0.183
SMN1,,,,no,4.873,6.349,22615,15345,0.382
SMN2,,,,no,2.952,3.051,13699,7375,0.048
SMO,,,,no,0.863,0.638,4004,1542,-0.435
SMOC1,,,,no,0.109,0.081,505,196,-0.424
SMOC2,,,,no,0.409,0.873,1898,2111,1.095
SMOX,,,,no,0.783,0.284,3632,687,-1.461
SMPD1,,,,no,2.149,1.892,9973,4573,-0.184
SMPD3,,,,no,0.356,0.311,1654,752,-0.196
SMPDL3B,,,,no,0.175,0.085,811,206,-1.036
SMTN,,,,no,1.506,1.417,6989,3424,-0.088
SMURF1,,,,no,4.224,3.159,19604,7636,-0.419
SMURF2,,,,no,2.986,3.82,13856,9232,0.355
SMYD3,,,,no,1.759,1.482,8162,3582,-0.247
SNAI1,,,,no,0.101,0.172,468,416,0.771
SNAI2,,,,no,1.915,1.576,8887,3809,-0.281
SNAP23,,,,no,1.659,1.454,7700,3514,-0.19
SNAP25,,,,no,0.116,0.112,539,270,-0.056
SNAP47,,,,no,0.637,0.576,2958,1392,-0.146
SNCA,,,,no,0.187,0.329,869,796,0.815
SND1,,,,no,11.487,7.862,53311,19001,-0.547
SNHG1,,,,no,3.803,4.215,17648,10187,0.148
SNHG11,,,,no,0.117,0.154,543,371,0.392
SNHG15,,,,no,31.929,45.693,148178,110435,0.517
SNHG17,,,,no,0.362,0.483,1678,1167,0.417
SNHG8,,,,no,0.209,0.438,968,1058,1.07
SNRNP200,,,,no,13.238,10.834,61436,26185,-0.289
SNRPB,,,,no,6.726,4.025,31214,9729,-0.741
SNRPD1,,,,no,1.008,1.217,4677,2942,0.272
SNRPD3,,,,no,2.152,2.952,9987,7134,0.456
SNTB2,,,,no,5.069,2.868,23527,6931,-0.822
SNTG2,,,,no,0.1,0.093,465,224,-0.112
SNURF,,,,no,4.269,3.304,19812,7986,-0.37
SNX1,,,,no,11.705,9.757,54320,23581,-0.263
SNX10,,,,no,1.199,1.263,5566,3053,0.075
SNX11,,,,no,2.726,2.391,12651,5778,-0.189
SNX15,,,,no,1.091,0.955,5061,2308,-0.192
SNX16,,,,no,1.407,1.365,6532,3299,-0.044
SNX17,,,,no,8.15,6.417,37824,15508,-0.345
SNX19,,,,no,1.716,1.73,7964,4182,0.012
SNX27,,,,no,2.774,2.607,12874,6301,-0.09
SNX29,,,,no,5.374,4.347,24939,10506,-0.306
SNX30,,,,no,2.412,1.825,11194,4411,-0.402
SNX33,,,,no,3.291,2.118,15272,5120,-0.635
SNX4,,,,no,1.013,0.995,4701,2404,-0.026
SNX8,,,,no,2.448,1.359,11363,3284,-0.85
SOAT1,,,,no,1.674,1.597,7771,3859,-0.069
SOCS1,,,,no,4.789,2.159,22226,5219,-1.149
SOCS2,,,,no,2.157,1.0,10012,2416,-1.11
SOCS3,,,,no,2.437,4.266,11309,10311,0.808
SOD1,,,,no,11.25,8.444,52212,20409,-0.414
SOD3,,,,no,0.901,0.614,4183,1483,-0.555
SOHLH2,,,,no,0.102,0.16,474,386,0.645
SORCS1,,,,no,0.379,0.255,1757,616,-0.571
SORCS2,,,,no,0.511,0.305,2373,737,-0.746
SORD,,,,no,1.172,0.934,5438,2258,-0.327
SORL1,,,,no,2.719,2.794,12619,6753,0.039
SORT1,,,,no,1.181,0.867,5483,2095,-0.447
SOS1,,,,no,3.437,3.208,15951,7754,-0.099
SOST,,,,no,16.142,19.072,74912,46094,0.241
SOSTDC1,,,,no,0.045,0.079,209,192,0.819
SOX1,,,,no,0.068,0.139,314,336,1.039
SOX10,,,,no,0.033,0.053,154,129,0.686
SOX11,,,,no,0.045,0.044,209,106,-0.038
SOX14,,,,no,0.084,0.139,390,335,0.722
SOX17,,,,no,0.236,0.273,1093,660,0.214
SOX18,,,,no,1.375,1.132,6383,2736,-0.281
SOX2,,,,no,0.331,0.374,1537,904,0.176
SOX2-OT,,,,no,24.652,45.681,114409,110405,0.89
SOX21,,,,no,0.116,0.153,540,370,0.396
SOX30,,,,no,0.106,0.169,490,409,0.681
SOX4,,,,no,13.005,12.2,60355,29487,-0.092
SOX5,,,,no,0.333,0.41,1546,990,0.298
SOX6,,,,no,0.701,0.413,3253,999,-0.762
SOX8,,,,no,0.134,0.103,622,249,-0.38
SOX9,,,,no,0.629,0.626,2919,1512,-0.008
SP1,,,,no,4.032,3.152,18713,7618,-0.355
SP110,,,,no,8.884,7.585,41232,18333,-0.228
SP140,,,,no,2.835,2.604,13157,6293,-0.123
SP3,,,,no,9.315,8.039,43231,19429,-0.213
SP9,,,,no,0.061,0.076,285,184,0.31
SPA17,,,,no,0.137,0.176,634,425,0.364
SPAAR,,,,no,0.108,0.13,503,313,0.257
SPAG1,,,,no,0.178,0.185,826,446,0.052
SPAG17,,,,no,0.057,0.11,264,267,0.958
SPAG5,,,,no,0.481,0.354,2233,856,-0.442
SPAG6,,,,no,0.116,0.159,537,384,0.457
SPAG8,,,,no,0.348,0.374,1617,903,0.101
SPANXB1,,,,no,0.032,0.054,148,130,0.754
SPARCL1,,,,no,6.074,5.961,28190,14406,-0.027
SPART,,,,no,4.431,3.102,20563,7496,-0.515
SPATA16,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.064,0.085,297,206,0.413
SPATA18,,,,no,0.367,0.415,1704,1003,0.177
SPATA22,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.143,0.261,663,631,0.87
SPATA4,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.115,0.19,535,460,0.723
SPATA5,,,,no,1.898,1.65,8810,3989,-0.202
SPATA5L1,,,,no,0.621,0.705,2882,1703,0.182
SPATA7,,,,no,0.53,0.698,2461,1687,0.396
SPATS2,,,,no,2.09,1.813,9699,4381,-0.205
SPATS2L,,,,no,3.901,2.316,18104,5597,-0.752
SPDYA,,,,no,0.206,0.334,955,808,0.7
SPECC1,,,,no,2.29,2.388,10628,5772,0.061
SPECC1L,,,,no,4.894,3.815,22712,9220,-0.359
SPHK1,,,,no,1.595,1.247,7400,3013,-0.355
SPI1,,,,no,2.144,2.032,9950,4910,-0.078
SPIB,,,,no,1.097,0.7,5089,1693,-0.647
SPICE1,,,,no,2.124,2.1,9855,5075,-0.016
SPIN1,,,,no,3.646,3.763,16919,9095,0.046
SPIN2A,,,,no,0.178,0.201,826,487,0.179
SPIN3,,,,no,0.464,0.577,2155,1395,0.314
SPINK7,,,,no,0.135,0.174,625,420,0.368
SPN,,,,no,3.053,3.64,14171,8797,0.253
SPO11,,,,no,0.157,0.278,727,672,0.828
SPOCK1,,,,no,0.785,0.93,3643,2248,0.245
SPON1,,,,no,0.197,0.27,914,652,0.454
SPON2,,,,no,1.746,0.786,8104,1899,-1.152
SPPL2A,,,,no,4.208,3.113,19529,7524,-0.435
SPRY2,,,,no,0.485,0.613,2252,1482,0.338
SPRYD7,,,,no,0.194,0.276,902,667,0.506
SPTA1,,,,no,0.102,0.13,475,313,0.339
SPTBN1,,,,no,8.17,8.406,37917,20316,0.041
SPZ1,,,,no,0.036,0.077,165,185,1.106
SQLE,,,,no,1.376,1.154,6385,2790,-0.253
SQSTM1,,,,no,6.789,5.997,31508,14493,-0.179
SRA1,,,,no,3.34,2.185,15502,5282,-0.612
SRC,,,,no,0.789,0.825,3663,1993,0.063
SRCAP,,,,no,7.554,6.148,35057,14859,-0.297
SRCIN1,,,,no,0.164,0.138,763,334,-0.251
SRD5A1,,,,no,1.049,0.957,4867,2313,-0.132
SRD5A2,,,,no,0.036,0.067,167,163,0.906
SRD5A3,,,,no,0.72,0.427,3342,1032,-0.754
SREBF1,,,,no,7.249,6.216,33643,15024,-0.222
SREBF2,,,,no,11.225,3.723,52093,8999,-1.592
SRF,,,,no,2.127,2.509,9871,6063,0.238
SRFBP1,,,,no,0.958,1.02,4445,2466,0.091
SRI,,,,no,2.732,2.339,12677,5653,-0.224
SRPK1,,,,no,1.265,1.099,5869,2657,-0.202
SRPX,,,,no,1.183,0.605,5492,1463,-0.967
SRSF1,,,,no,6.232,8.27,28923,19988,0.408
SRSF2,,,,no,1.186,1.495,5504,3613,0.334
SRY,,,,no,0.022,,101,0,
SS18,,,,no,3.921,3.196,18199,7724,-0.295
SSB,,,,no,6.769,6.13,31413,14815,-0.143
SSBP3,,,,no,3.156,3.595,14649,8688,0.188
SSRP1,,,,no,6.635,5.11,30794,12351,-0.377
SSTR1,,,,no,0.038,0.066,178,160,0.787
SSTR2,,,,no,0.177,0.168,822,406,-0.076
SSTR3,,,,no,0.424,0.544,1968,1315,0.36
SSTR4,,,,no,0.026,,119,0,
SSTR5,,,,no,0.029,,135,0,
SSX1,,,,no,0.037,0.053,171,128,0.523
SSX2,,,,no,0.046,0.083,212,200,0.857
SSX2IP,,,,no,2.688,1.276,12477,3083,-1.076
ST14,,,,no,8.183,5.501,37975,13296,-0.573
ST18,,,,no,0.091,0.116,422,280,0.349
ST6GAL1,,,,no,2.827,2.415,13120,5837,-0.227
STAB1,,,,no,3.823,3.603,17744,8707,-0.086
STAC3,,,,no,0.807,0.84,3746,2029,0.057
STAP1,,,,no,0.509,0.348,2360,842,-0.546
STAR,,,,no,0.15,0.157,697,379,0.062
STAT1,,,,no,11.571,11.161,53702,26975,-0.052
STAT2,,,,no,8.025,4.894,37241,11829,-0.713
STAT3,,,,no,7.541,6.842,34997,16537,-0.14
STAT4,,,,no,0.626,0.673,2907,1626,0.103
STAT5A,,,,no,4.71,3.082,21857,7449,-0.612
STAT5B,,,,no,3.907,3.797,18130,9177,-0.041
STAT6,,,,no,18.513,14.604,85918,35297,-0.342
STAU1,,,,no,10.529,7.251,48865,17526,-0.538
STAU2,,,,no,1.928,2.023,8946,4889,0.07
STC2,,,,no,0.077,0.1,357,242,0.38
STEAP1,,,,no,0.184,0.314,854,758,0.769
STEAP4,,,,no,0.527,0.849,2447,2053,0.688
STH,,,,no,0.05,0.079,233,192,0.662
STIL,,,,no,0.335,0.372,1555,898,0.149
STIM1,,,,no,8.138,4.298,37766,10387,-0.921
STIM2,,,,no,3.089,2.872,14337,6941,-0.105
STK11,,,,no,8.953,5.443,41552,13154,-0.718
STK16,,,,no,3.582,2.102,16624,5080,-0.769
STK3,,,,no,0.725,0.623,3364,1505,-0.219
STK31,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.14,0.17,651,411,0.278
STK32A,,,,no,0.056,0.106,259,257,0.93
STK32C,,,,no,0.547,0.447,2539,1080,-0.292
STK33,,,,no,0.328,0.429,1522,1037,0.388
STK35,,,,no,2.704,2.273,12548,5494,-0.25
STK39,,,,no,2.527,2.249,11728,5436,-0.168
STK4,,,,no,5.378,3.082,24960,7450,-0.803
STK40,,,,no,4.872,4.529,22610,10946,-0.105
STMN1,,,,no,3.965,3.627,18402,8766,-0.129
STMN2,,,,no,0.064,0.099,297,239,0.628
STMN3,,,,no,3.563,2.035,16534,4918,-0.808
STOML1,,,,no,0.504,0.424,2338,1024,-0.25
STRIP1,,,,no,2.405,1.794,11162,4336,-0.423
STRIP2,,,,no,0.192,0.148,893,357,-0.381
STRN3,,,,no,4.263,3.37,19786,8144,-0.339
STRN4,,,,no,3.508,2.536,16282,6130,-0.468
STS,,,,no,0.329,0.284,1527,686,-0.213
STUB1,,,,no,7.582,4.279,35187,10343,-0.825
STX11,,,,no,0.486,0.486,2256,1174,-0.001
STX1A,,,,no,0.421,0.392,1955,947,-0.104
STX7,,,,no,3.915,3.682,18168,8898,-0.089
STXBP4,,,,no,1.441,1.538,6687,3716,0.094
STXBP5,,,,no,1.408,1.486,6535,3592,0.078
STYK1,,,,no,0.169,0.157,783,379,-0.106
SUGCT,,,,no,0.307,0.377,1427,912,0.295
SUGP2,,,,no,10.309,5.551,47844,13417,-0.893
SULF1,,,,no,0.231,0.327,1070,790,0.504
SULF2,,,,no,2.466,2.134,11446,5158,-0.209
SULT1A1,,,,no,0.623,0.532,2892,1285,-0.229
SUMO1,,,,no,2.678,2.431,12427,5875,-0.14
SUMO4,,,,no,2.258,3.118,10478,7536,0.466
SUPV3L1,,,,no,0.949,0.835,4405,2019,-0.184
SURF6,,,,no,2.878,2.481,13357,5996,-0.214
SUV39H1,,,,no,1.176,0.653,5458,1579,-0.848
SV2C,,,,no,0.044,0.076,202,183,0.799
SVEP1,,,,no,0.164,0.158,759,381,-0.053
SVIL,,,,no,3.983,3.555,18484,8591,-0.164
SWT1,,,,no,1.192,1.163,5532,2812,-0.035
SYCP1,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.085,0.146,395,353,0.779
SYK,,,,no,2.861,2.009,13276,4855,-0.51
SYNCRIP,,,,no,10.0,9.299,46409,22474,-0.105
SYNGR3,,,,no,0.252,0.257,1170,621,0.027
SYNM,,,,no,0.655,0.497,3039,1201,-0.398
SYNPO2,,,,no,3.245,1.955,15059,4726,-0.731
SYNRG,,,,no,2.133,1.818,9900,4393,-0.231
SYP,,,,no,0.584,0.63,2710,1523,0.11
SYT16,,,,no,0.04,0.074,185,178,0.886
SYTL2,,,,no,2.074,2.896,9627,7000,0.482
SYVN1,,,,no,2.154,1.745,9996,4218,-0.304
TAB1,,,,no,3.197,2.888,14839,6981,-0.147
TAB2,,,,no,2.376,2.339,11026,5652,-0.023
TAC1,,,,no,0.08,0.137,372,332,0.777
TAC3,,,,no,0.097,0.111,450,269,0.199
TAC4,,,,no,0.035,0.045,162,109,0.37
TACC2,,,,no,9.062,3.129,42055,7562,-1.534
TACR1,,,,no,0.257,0.176,1195,426,-0.547
TACR2,,,,no,0.048,0.062,223,150,0.369
TACR3,,,,no,0.028,0.051,132,123,0.839
TADA2A,,,,no,1.734,1.62,8048,3916,-0.098
TAF1,,,,no,3.081,2.767,14298,6687,-0.155
TAFA4,,,,no,0.045,0.093,207,225,1.062
TAFA5,,,,no,0.165,0.152,765,367,-0.118
TAL1,,,,no,0.28,0.182,1298,441,-0.616
TAL2,,,,no,0.038,0.055,175,133,0.545
TANGO2,,,,no,2.151,2.375,9981,5740,0.143
TAP1,,,,no,8.411,4.719,39035,11405,-0.834
TAP2,,,,no,7.004,5.138,32507,12417,-0.447
TARDBP,,,,no,8.743,8.408,40575,20320,-0.056
TAS2R38,chemosensory_receptor,Olfactory / taste receptors; nasal/oral epithelium only.,,yes,0.034,0.061,158,148,0.847
TASOR,,,,no,4.875,4.88,22625,11795,0.002
TASOR2,,,,no,0.751,0.602,3485,1456,-0.318
TBC1D22B,,,,no,1.651,1.427,7660,3448,-0.21
TBC1D30,,,,no,0.145,0.131,674,316,-0.152
TBC1D8B,,,,no,0.273,0.334,1268,807,0.289
TBCK,,,,no,2.907,3.752,13492,9067,0.368
TBK1,,,,no,1.983,1.697,9204,4102,-0.225
TBL1Y,sex_chromosome,"Y-chromosome / X-inactivation genes with strong sex-of-donor bias. Empirical signature in this dataset: KDM5D and DDX3Y are 10.3% / 7.7% in 0041326 vs ~0% in 0041323 — donor-sex differs between samples. Exclude from cell-type scoring, PCA/scVI input, and any cross-sample comparison; retain in obs as a sex-confirmation tag only.",,yes,0.087,0.085,405,206,-0.034
TBL2,,,,no,1.935,2.103,8982,5083,0.12
TBP,,,,no,1.616,1.371,7502,3314,-0.237
TBR1,,,,no,0.024,0.049,113,118,1.004
TBRG4,,,,no,5.724,3.685,26564,8907,-0.635
TBX15,,,,no,0.119,0.103,550,249,-0.202
TBX19,,,,no,0.501,0.595,2324,1438,0.249
TBX2,,,,no,0.599,0.816,2781,1971,0.445
TBX21,,,,no,0.166,0.184,770,445,0.15
TBX3,,,,no,0.157,0.212,727,512,0.435
TBX4,,,,no,0.046,0.049,215,118,0.076
TBX5,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.032,,149,0,
TBXA2R,,,,no,0.243,0.275,1127,665,0.18
TBXAS1,,,,no,2.025,1.334,9397,3224,-0.602
TC2N,,,,no,3.276,3.437,15203,8306,0.069
TCEA3,,,,no,1.069,0.816,4959,1971,-0.39
TCEANC,,,,no,0.293,0.326,1358,788,0.156
TCEANC2,,,,no,0.393,0.489,1823,1183,0.317
TCERG1L,,,,no,0.34,0.305,1578,738,-0.155
TCF20,,,,no,5.222,4.718,24233,11404,-0.146
TCF21,,,,no,0.076,0.093,352,224,0.289
TCF3,,,,no,2.832,2.438,13143,5893,-0.216
TCF4,,,,no,7.649,6.359,35499,15368,-0.267
TCF7,,,,no,8.886,10.967,41239,26506,0.304
TCF7L2,,,,no,0.56,0.492,2601,1189,-0.188
TCFL5,,,,no,0.649,0.751,3013,1816,0.211
TCIM,,,,no,0.398,0.522,1845,1261,0.392
TCL1A,,,,no,0.541,0.366,2509,884,-0.564
TCOF1,,,,no,1.922,1.567,8920,3787,-0.295
TCP1,,,,no,8.825,6.456,40956,15603,-0.451
TDGF1,embryonic_pluripotency,Pluripotency factors / embryonic-restricted; not in adult pancreas or LN.,,yes,0.483,1.093,2240,2641,1.179
TDRD3,,,,no,2.52,2.775,11696,6708,0.139
TDRD7,,,,no,1.411,1.322,6547,3196,-0.093
TEC,,,,no,1.054,0.856,4892,2069,-0.3
TECPR1,,,,no,6.169,3.862,28630,9335,-0.676
TEDC1,,,,no,0.753,0.712,3496,1720,-0.082
TEFM,,,,no,1.924,2.061,8931,4980,0.099
TEK,,,,no,0.657,0.705,3051,1705,0.102
TEKT1,,,,no,0.091,0.102,422,247,0.169
TEKT3,,,,no,0.038,0.048,178,115,0.311
TEKT4,,,,no,0.069,0.061,318,148,-0.162
TELO2,,,,no,5.363,2.811,24889,6794,-0.932
